from_web_code,from_web_name,from_stop_id,to_web_code,to_web_name,to_stop_id,peak_fare,low_fare,senior_fare,dist,time
1,Metro Center,7588,93,Ronald Reagan Washington National Airport,9838,2.5,2.0,1.25,4.3,18.0
1,Metro Center,7588,41,Rosslyn,11332,2.1,1.7,1.05,1.36,7.0
1,Metro Center,7588,18,Shady Grove,9360,5.75,3.5,2.85,17.44,34.0
1,Metro Center,7588,72,Shaw-Howard U,308,2.1,1.7,1.05,2.43,10.0
1,Metro Center,7588,31,Silver Spring,20078,3.5,2.75,1.75,7.6,18.0
1,Metro Center,7588,54,Smithsonian,12906,2.1,1.7,1.05,0.68,3.0
1,Metro Center,7588,107,Southern Avenue,7681,2.9,2.05,1.45,5.55,16.0
1,Metro Center,7588,63,Stadium-Armory,5110,2.25,1.8,1.1,3.4,14.0
1,Metro Center,7588,88,Suitland,10142,3.5,2.75,1.75,7.57,21.0
1,Metro Center,7588,29,Takoma,6963,3.15,2.05,1.55,6.29,15.0
1,Metro Center,7588,10,Tenleytown-AU,5660,2.65,2.05,1.3,4.7,12.0
1,Metro Center,7588,16,Twinbrook,3969,4.95,3.5,2.45,12.81,27.0
1,Metro Center,7588,73,U Street/African-Amer Civil War Memorial/Cardozo,1418,2.1,1.7,1.05,1.55,12.0
1,Metro Center,7588,25,Union Station,12872,2.1,1.7,1.05,1.22,4.0
1,Metro Center,7588,94,Van Dorn Street,10352,4.4,3.45,2.2,10.83,30.0
1,Metro Center,7588,9,Van Ness-UDC,4941,2.35,1.85,1.15,3.72,10.0
1,Metro Center,7588,103,Vienna/Fairfax-GMU,11610,5.3,3.5,2.65,14.02,30.0
1,Metro Center,7588,98,Virginia Square-GMU,12922,2.55,2.05,1.25,4.47,13.0
1,Metro Center,7588,83,Waterfront,7376,2.1,1.7,1.05,1.8,7.0
1,Metro Center,7588,101,West Falls Church-VT/UVA,14118,3.95,2.75,1.95,9.29,22.0
1,Metro Center,7588,77,West Hyattsville,11886,3.1,2.05,1.55,6.15,18.0
1,Metro Center,7588,33,Wheaton,4271,4.4,3.4,2.2,10.79,25.0
1,Metro Center,7588,15,White Flint,22094,4.65,3.5,2.3,11.72,24.0
1,Metro Center,7588,7,Woodley Park-Zoo/Adams Morgan,4905,2.1,1.7,1.05,2.39,6.0
4,Farragut North,5635,92,Addison Road-Seat Pleasant,13107,3.85,2.75,1.9,8.82,30.0
4,Farragut North,5635,85,Anacostia,6751,2.45,1.95,1.2,4.1,18.0
4,Farragut North,5635,81,Archives-Navy Memorial-Penn Quarter,7477,2.1,1.7,1.05,1.29,10.0
4,Farragut North,5635,42,Arlington Cemetery,12926,2.15,1.75,1.05,3.12,16.0
4,Farragut North,5635,99,Ballston-MU,12631,2.8,2.05,1.4,5.17,22.0
4,Farragut North,5635,90,Benning Road,4613,3.15,2.05,1.55,6.38,24.0
4,Farragut North,5635,12,Bethesda,4387,3.15,2.05,1.55,6.45,15.0
4,Farragut North,5635,47,Braddock Road,13986,3.5,2.75,1.75,7.7,27.0
4,Farragut North,5635,89,Branch Ave,21110,4.1,2.75,2.05,9.76,31.0
4,Farragut North,5635,27,Brookland-CUA,4710,2.4,1.95,1.2,3.95,11.0
4,Farragut North,5635,91,Capitol Heights,1305,3.55,2.75,1.75,7.84,27.0
4,Farragut North,5635,59,Capitol South,12900,2.1,1.7,1.05,2.56,16.0
4,Farragut North,5635,66,Cheverly,999,3.55,2.75,1.75,7.77,28.0
4,Farragut North,5635,97,Clarendon,12648,2.45,1.95,1.2,4.16,18.0
4,Farragut North,5635,8,Cleveland Park,4912,2.1,1.7,1.05,2.41,6.0
4,Farragut North,5635,79,College Park-U of MD,11733,4.05,2.75,2.0,9.61,26.0
4,Farragut North,5635,75,Columbia Heights,25552,2.1,1.7,1.05,2.69,16.0
4,Farragut North,5635,86,Congress Heights,4655,2.85,2.05,1.4,5.36,21.0
4,Farragut North,5635,96,Court House,12488,2.3,1.85,1.15,3.65,16.0
4,Farragut North,5635,45,Crystal City,9720,2.55,2.05,1.25,4.4,20.0
4,Farragut North,5635,65,Deanwood,5030,3.25,2.05,1.6,6.67,26.0
4,Farragut North,5635,102,Dunn Loring-Merrifield,11602,4.6,3.5,2.3,11.63,34.0
4,Farragut North,5635,6,Dupont Circle,4956,2.1,1.7,1.05,0.51,2.0
4,Farragut North,5635,100,East Falls Church,12282,3.45,2.75,1.7,7.52,27.0
4,Farragut North,5635,60,Eastern Market,6479,2.1,1.7,1.05,3.03,18.0
4,Farragut North,5635,49,Eisenhower Avenue,9880,3.85,2.75,1.9,8.93,31.0
4,Farragut North,5635,38,Farragut West,7932,2.1,1.7,1.05,0.88,9.0
4,Farragut North,5635,58,Federal Center SW,7333,2.1,1.7,1.05,2.04,14.0
4,Farragut North,5635,53,Federal Triangle,7671,2.1,1.7,1.05,0.99,8.0
4,Farragut North,5635,40,Foggy Bottom-GWU,8040,2.1,1.7,1.05,1.37,11.0
4,Farragut North,5635,32,Forest Glen,21029,4.0,2.75,2.0,9.4,23.0
4,Farragut North,5635,28,Fort Totten,5305,2.75,2.05,1.35,5.0,14.0
4,Farragut North,5635,95,Franconia-Springfield,14816,5.45,3.5,2.7,14.5,42.0
4,Farragut North,5635,11,Friendship Heights,4364,2.65,2.05,1.3,4.76,12.0
4,Farragut North,5635,21,Gallery Pl-Chinatown,7474,2.1,1.7,1.05,1.01,3.0
4,Farragut North,5635,76,Georgia Ave-Petworth,25553,2.2,1.8,1.1,3.38,19.0
4,Farragut North,5635,34,Glenmont,16051,4.95,3.5,2.45,12.72,30.0
4,Farragut North,5635,80,Greenbelt,11731,4.7,3.5,2.35,11.96,29.0
4,Farragut North,5635,14,Grosvenor-Strathmore,3542,4.1,2.75,2.05,9.67,20.0
4,Farragut North,5635,50,Huntington,10776,4.0,2.75,2.0,9.44,33.0
4,Farragut North,5635,23,Judiciary Square,12874,2.1,1.7,1.05,1.38,4.0
4,Farragut North,5635,48,King St-Old Town,13995,3.7,2.75,1.85,8.31,29.0
4,Farragut North,5635,82,L'Enfant Plaza,5017,2.1,1.7,1.05,1.77,12.0
4,Farragut North,5635,67,Landover,2124,4.0,2.75,2.0,9.48,31.0
4,Farragut North,5635,109,Largo Town Center,4697,4.6,3.5,2.3,11.56,36.0
4,Farragut North,5635,36,McPherson Square,7812,2.1,1.7,1.05,0.8,8.0
4,Farragut North,5635,13,Medical Center,2640,3.45,2.7,1.7,7.47,12.0
4,Farragut North,5635,1,Metro Center,7588,2.1,1.7,1.05,0.74,2.0
4,Farragut North,5635,64,Minnesota Ave,25426,3.0,2.05,1.5,5.91,19.0
4,Farragut North,5635,110,Morgan Boulevard,4664,4.25,3.3,2.1,10.3,33.0
4,Farragut North,5635,70,Mt Vernon Sq 7th St-Convention Center,10344,2.1,1.7,1.05,1.31,11.0
4,Farragut North,5635,84,Navy Yard-Ballpark,5759,2.1,1.7,1.05,2.99,16.0
4,Farragut North,5635,87,Naylor Road,7686,3.35,2.05,1.65,6.99,26.0
4,Farragut North,5635,68,New Carrollton,2658,4.4,3.45,2.2,10.84,34.0
4,Farragut North,5635,108,NoMa-Gallaudet,4567,2.1,1.7,1.05,2.37,7.0
4,Farragut North,5635,43,Pentagon,12928,2.2,1.8,1.1,3.38,17.0
4,Farragut North,5635,44,Pentagon City,12930,2.4,1.95,1.2,3.97,18.0
4,Farragut North,5635,61,Potomac Ave,6553,2.3,1.85,1.15,3.64,20.0
4,Farragut North,5635,78,Prince George's Plaza,3034,3.55,2.75,1.75,7.77,23.0
4,Farragut North,5635,26,Rhode Island Ave-Brentwood,6671,2.2,1.75,1.1,3.26,9.0
4,Farragut North,5635,17,Rockville,7993,5.3,3.5,2.65,14.1,28.0
4,Farragut North,5635,93,Ronald Reagan Washington National Airport,9838,2.65,2.05,1.3,4.81,22.0
4,Farragut North,5635,41,Rosslyn,11332,2.1,1.7,1.05,2.63,14.0
4,Farragut North,5635,18,Shady Grove,9360,5.75,3.5,2.85,16.77,32.0
4,Farragut North,5635,72,Shaw-Howard U,308,2.1,1.7,1.05,1.65,12.0
4,Farragut North,5635,31,Silver Spring,20078,3.55,2.75,1.75,7.83,20.0
4,Farragut North,5635,54,Smithsonian,12906,2.1,1.7,1.05,1.32,10.0
4,Farragut North,5635,107,Southern Avenue,7681,3.1,2.05,1.55,6.27,23.0
4,Farragut North,5635,63,Stadium-Armory,5110,2.45,1.95,1.2,4.14,21.0
4,Farragut North,5635,88,Suitland,10142,3.7,2.75,1.85,8.31,28.0
4,Farragut North,5635,29,Takoma,6963,3.2,2.05,1.6,6.57,17.0
4,Farragut North,5635,10,Tenleytown-AU,5660,2.4,1.95,1.2,3.99,10.0
4,Farragut North,5635,16,Twinbrook,3969,4.75,3.5,2.35,12.15,25.0
4,Farragut North,5635,73,U Street/African-Amer Civil War Memorial/Cardozo,1418,2.1,1.7,1.05,1.88,14.0
4,Farragut North,5635,25,Union Station,12872,2.1,1.7,1.05,1.94,6.0
4,Farragut North,5635,94,Van Dorn Street,10352,4.5,3.5,2.25,11.17,38.0
4,Farragut North,5635,9,Van Ness-UDC,4941,2.1,1.7,1.05,3.04,8.0
4,Farragut North,5635,103,Vienna/Fairfax-GMU,11610,5.3,3.5,2.65,14.13,38.0
4,Farragut North,5635,98,Virginia Square-GMU,12922,2.6,2.05,1.3,4.63,20.0
4,Farragut North,5635,83,Waterfront,7376,2.1,1.7,1.05,2.48,14.0
4,Farragut North,5635,101,West Falls Church-VT/UVA,14118,4.0,2.75,2.0,9.38,30.0
4,Farragut North,5635,77,West Hyattsville,11886,3.2,2.05,1.6,6.63,20.0
4,Farragut North,5635,33,Wheaton,4271,4.45,3.45,2.2,10.99,27.0
4,Farragut North,5635,15,White Flint,22094,4.45,3.45,2.2,11.05,22.0
4,Farragut North,5635,7,Woodley Park-Zoo/Adams Morgan,4905,2.1,1.7,1.05,1.7,4.0
6,Dupont Circle,4956,92,Addison Road-Seat Pleasant,13107,3.95,2.75,1.95,9.22,32.0
6,Dupont Circle,4956,85,Anacostia,6751,2.6,2.05,1.3,4.6,20.0
6,Dupont Circle,4956,81,Archives-Navy Memorial-Penn Quarter,7477,2.1,1.7,1.05,1.78,12.0
6,Dupont Circle,4956,42,Arlington Cemetery,12926,2.25,1.8,1.1,3.49,18.0
6,Dupont Circle,4956,99,Ballston-MU,12631,2.85,2.05,1.4,5.42,24.0
6,Dupont Circle,4956,90,Benning Road,4613,3.25,2.05,1.6,6.78,26.0
6,Dupont Circle,4956,12,Bethesda,4387,3.05,2.05,1.5,5.94,13.0
6,Dupont Circle,4956,47,Braddock Road,13986,3.65,2.75,1.8,8.18,29.0
6,Dupont Circle,4956,89,Branch Ave,21110,4.2,3.3,2.1,10.2,33.0
6,Dupont Circle,4956,27,Brookland-CUA,4710,2.45,1.95,1.2,4.16,13.0
6,Dupont Circle,4956,91,Capitol Heights,1305,3.7,2.75,1.85,8.24,29.0
6,Dupont Circle,4956,59,Capitol South,12900,2.1,1.7,1.05,3.04,18.0
6,Dupont Circle,4956,66,Cheverly,999,3.65,2.75,1.8,8.11,30.0
6,Dupont Circle,4956,97,Clarendon,12648,2.55,2.05,1.25,4.41,20.0
6,Dupont Circle,4956,8,Cleveland Park,4912,2.1,1.7,1.05,1.9,4.0
6,Dupont Circle,4956,79,College Park-U of MD,11733,4.1,2.75,2.05,9.8,28.0
6,Dupont Circle,4956,75,Columbia Heights,25552,2.1,1.7,1.05,2.77,18.0
6,Dupont Circle,4956,86,Congress Heights,4655,3.0,2.05,1.5,5.83,23.0
6,Dupont Circle,4956,96,Court House,12488,2.4,1.9,1.2,3.9,18.0
6,Dupont Circle,4956,45,Crystal City,9720,2.7,2.05,1.35,4.87,22.0
6,Dupont Circle,4956,65,Deanwood,5030,3.35,2.65,1.65,7.03,28.0
