6430746-12,246758585,53186041,53.625058
6489623-0,53233808,53174053,142.926567
6489623-1,53174053,53209245,121.755136
6489623-2,53209245,53233809,86.290212
6489623-3,53233809,53155439,93.362584
6489623-4,53155439,53233810,87.160583
6427899-10,53183778,53108429,81.984174
6489623-6,53123940,53108334,148.126864
6489623-7,53108334,53195447,148.379258
6521205-8,53130104,53214121,101.668485
6521205-5,53118266,53098403,43.748715
6521205-4,60408012,53118266,59.671723
6521205-7,53098433,53130104,62.275138
6521205-6,53098403,53098433,31.110920
6521205-1,53186031,53223115,94.569750
6521205-0,53072283,53186031,79.735996
6521205-3,53226883,60408012,69.833542
6521205-2,53223115,53226883,55.706733
6362325-9,53103005,118016377,64.430758
6362325-8,53091433,53103005,75.622230
6362325-1,60663806,88438013,28.163527
6362325-0,60663805,60663806,26.190462
6362325-3,53102994,53102996,69.609299
6362325-2,88438013,53102994,38.466051
6362325-5,53102998,53102999,78.045121
6362325-4,53102996,53102998,74.933117
6362325-7,53103002,53091433,76.611414
6362325-6,53102999,53103002,74.699738
6477625-10,53185786,53225161,107.064879
8027499-2,53234189,53251841,48.329559
8027499-1,53099311,53234189,96.591586
8027499-0,53037536,53099311,90.059790
6463609-0,53066583,53182392,203.512672
6493629-1,53186128,53237255,288.724402
6474368-24,53216612,53181414,49.000732
6333489-2,60895512,60895513,205.791867
6333489-0,53040355,53040357,199.979586
6333489-1,53040357,60895512,208.920544
4644194-0,29545490,59594361,38.930548
4644194-1,59594361,31428566,26.600843
6508322-0,53157100,53157104,115.563068
6508322-1,53157104,53142732,30.309366
6508322-2,53142732,53134336,135.824284
6372377-0,53114880,53114882,102.454616
6398590-2,53146927,53146929,199.971163
6441836-0,53196481,53191263,239.719044
6441836-1,53191263,53132096,116.199974
6441836-2,53132096,53195550,67.854493
6441836-3,53195550,53196486,80.497955
6481135-6,53203546,53040351,49.314627
6481135-7,53040351,53227735,44.679904
6481135-4,53044935,53227734,51.148475
6481135-5,53227734,53203546,96.495218
6481135-2,60895527,53078097,49.392406
6481135-3,53078097,53044935,47.125018
6481135-0,53181623,53227733,93.337636
6481135-1,53227733,60895527,53.993742
6396312-8,53128449,53144338,142.652081
6396312-9,53144338,53144339,131.703002
4915022-1,60976399,32171831,82.242489
4915022-0,32172259,60976399,96.956432
6396312-0,53144329,53144330,111.831958
6396312-1,53144330,53144331,107.830836
6391885-4,53139274,53093757,200.528467
6391885-5,53093757,53139277,204.596720
6391885-2,53130130,53139272,201.482872
6391885-3,53139272,53139274,202.328218
6391885-0,30758573,53122091,204.240557
6391885-1,53122091,53130130,197.256906
6522373-0,53255959,53186603,70.879410
6439899-0,53090798,53194675,154.586748
6439899-1,53194675,53180732,89.400310
6394365-27,53142189,67448999,41.044917
6394365-26,67449020,53142189,37.585058
6394365-25,53119003,67449020,43.303874
6394365-24,67449040,53119003,37.982885
6394365-23,53142186,67449040,43.514087
6394365-22,67448932,53142186,37.622579
6394365-21,53142183,67448932,40.714715
6394365-20,67448939,53142183,39.273667
6394365-29,53142192,67448982,41.885515
6394365-28,67448999,53142192,39.671497
7978468-0,59677249,59710179,101.881611
6396756-0,53144839,53144840,164.631284
6396756-1,53144840,53100704,165.153620
6396756-2,53100704,53144841,65.833216
6502987-3,53148302,53221000,130.579925
6502987-2,53187910,53148302,130.556831
6502987-1,53194068,53187910,128.790417
6502987-0,30345425,53194068,64.668683
4644164-0,29545440,29545412,51.153580
6431455-0,53183785,90341001,201.759371
6457806-5,53209847,53114222,93.004160
6494769-0,53179385,53238005,84.796950
6435967-0,53126290,53190796,79.696911
6435967-1,53190796,53157241,124.377734
6407903-3,244284901,53146309,48.682163
6407903-2,53157731,244284901,48.672113
6407903-1,244284896,53157731,50.450218
6407903-0,53157730,244284896,49.204642
6407903-6,53082534,53157733,51.474491
6407903-5,244284906,53082534,46.106088
6407903-4,53146309,244284906,49.473801
4749000-0,30280157,30280218,99.673182
6441843-10,53196492,53196493,53.965311
6441843-11,53196493,53128204,82.967982
6469673-0,53219111,53219112,70.505851
6403939-23,53153097,53153098,90.263799
6403939-22,53141392,53153097,76.036546
6403939-21,53141368,53141392,37.609993
6403939-20,53133498,53141368,38.738295
6403939-24,53153098,53128618,75.219825
6496320-8,59993276,53203989,41.091070
6506075-0,53173355,53138950,37.612691
8027223-4,53090366,88468857,43.181294
6469730-1,53103674,53213057,103.610602
6469730-0,53122090,53103674,98.612775
6497629-1,53091431,53078054,96.028728
6497629-0,53138026,53091431,49.110384
4910385-4,53079385,53079384,74.939816
4910385-5,53079384,32096219,12.517223
4910385-2,53208255,32096216,119.454915
4910385-3,32096216,53079385,80.540661
4910385-0,32096212,60411512,21.243146
4910385-1,60411512,53208255,143.314077
8027223-1,88468818,53188395,157.296604
6520117-0,53234627,53205445,105.859282
6520117-1,53205445,53241680,110.318714
6520117-2,53241680,53103948,72.482900
6486005-0,53100572,53231391,34.313748
6456435-13,53146717,53083079,191.322703
6456435-12,53208771,53146717,124.322130
6456435-11,53144951,53208771,273.447332
6456435-10,53208770,53144951,68.359889
6473669-3,53080452,53194107,200.193406
6473669-2,53217593,53080452,200.052012
6473669-1,53116582,53217593,200.193514
6473669-0,53222252,53116582,300.078232
6473669-5,53185000,53222253,111.139908
6473669-4,53194107,53185000,200.193351
4910430-1,60411560,32096173,13.323367
4910430-0,32096172,60411560,16.296143
7991939-1,59817997,59818057,87.243237
7991939-0,59817998,59817997,49.143423
4864523-0,31393865,31393853,102.888482
7978638-2,59713092,59713093,233.522388
7978638-0,59713090,59713091,182.670882
7978638-1,59713091,59713092,101.377632
13866253-0,130157112,130157113,74.865320
6507964-0,53215034,53214289,37.606768
4921460-0,124318669,32271405,81.619293
6452536-0,53205415,53083668,88.912203
8071849-0,53214130,53195268,241.890637
6413364-1,53165706,53067071,94.850078
6413364-0,53165705,53165706,57.417498
6469565-17,53178034,53219013,227.185516
6469565-16,53219012,53178034,36.581088
6469565-15,53211319,53219012,392.287607
6469565-14,53083055,53211319,406.737501
