53209539,60412683
53197499,53202704
53035700,53104601
53200757,53197106
53129523,246758521
53194673,53241729
53081229,53136485
53179514,53099299
53112569,53113935
53085827,53155844
53178613,52976123
53132217,53125664
53167901,53114589
90251121,53162536
244285078,53168069
53168064,53113675
32268924,53151159
53179552,53222471
53201191,53108136
246758478,53216127
53186790,53131033
59710785,31429763
59712552,53115841
53217942,53168721
67448982,53186698
32096216,244420202
30101064,53171903
53185777,53194102
53178594,53185597
53093268,53169178
60655188,53125167
53130890,53068390
53189582,53131130
53119158,53138947
53134821,53146902
88380872,53107474
53171889,53123792
31393878,53067373
67507559,53079403
53229787,53110661
53204011,53204774
53194375,53129530
53134568,53134874
53067800,151962900
88468813,52976123
53091133,53148292
53208082,53213411
52988840,53134709
53194975,53119472
53060511,53251482
244284955,53210975
53074196,53114079
53158821,53201889
53213862,53087697
67507275,53093660
53125172,53095562
53176324,53251192
53229259,31192303
53113366,53227182
53248305,53244434
53168457,53172942
53243395,53066578
53154435,53099079
53090756,53068798
31514118,53141473
53114063,53155434
53162567,53238896
53058597,53155803
53202846,151889443
53102742,53114291
53231387,53243391
53211698,53146916
53146311,53184640
53084812,258978449
53224629,53181414
53091174,53088801
53194101,59710779
53090213,53101638
53204776,53155826
53024310,53067799
243649114,53101726
53217446,53071974
53109866,53179372
53233989,53148287
91255328,53157249
53209420,60979351
60002783,29463410
53108425,53156118
151889717,244285032
124181091,53079346
53138885,53214133
53125309,59823541
53197396,53180732
53182387,246768807
53195106,53113609
53178043,53162531
53195559,243649122
31327949,53121181
53080844,53230475
53197520,53101531
59999576,53181687
53090755,246758583
67448870,53187316
53130387,53197408
53155769,32097949
53238630,53255959
60895532,53241028
60412673,53186032
53204599,88486737
53088566,243649142
53203061,53074181
59948337,53073246
53083073,140331396
53238894,53189540
243646534,88486529
53184722,59710179
53146384,53077568
53144594,246758467
53072494,53228500
53113178,53154910
53239403,53197390
53248714,53244342
151889765,53233280
53171930,53090174
60155909,53243971
53068001,53189008
53248103,53085549
246758579,53125455
53230214,53154906
53078090,53238635
53092498,53223122
53179627,53182371
53162428,53068423
53087034,53186593
53234222,53025936
53217472,53102731
53169045,53075614
59817994,53202739
53129937,53208514
53225285,59818010
53072275,32268922
53134576,52993543
53067896,53224162
53202965,53102267
59999621,53088184
53112859,67448808
60975339,53152249
53123923,53080356
53083183,53110525
53103934,53131452
30012733,32097463
53073735,95606700
53238626,53074419
53084880,53088999
53074363,52976124
53110417,53218751
53186325,29973106
246758471,94004342
53218463,53102267
53113648,53116779
53047487,88486716
244256157,53163502
59699575,53103710
53118074,67434745
53083059,53093784
53203986,67507109
53100753,53201187
53137938,53132407
53141842,53187320
53077627,243652260
53110309,53248722
53194991,53193979
60663417,53219634
53052527,53075151
53112773,53144976
53082767,53228501
53144980,53165712
53195042,53155825
53189618,60155909
53154918,53212908
53071982,53124802
53066570,53133496
52989101,53155802
243649118,53179297
59712540,31253052
53210160,53067570
108423020,59710785
53135832,60005896
53224639,53188083
52974035,53211562
53072849,53215103
53072481,53255557
53246711,53199826
53223554,53063957
59712858,134057653
53157411,53196073
53142732,53210907
53187333,32096177
244285097,53086038
244285013,53200215
