X,Y,NUMEROLIGN,CODCOM,COMMUNE,DESIGNATIO,TYPE,STATUT,ADRESSE,CODEPOSTAL,DATE_MAJ,IDT_SOURCE,IDLIGNE
5.391052476187793,43.30593838937849,                   34.0000000000,13201,MARSEILLE,SAINT-CHARLES,LYP,PUBLIC,90 rue Grobet,13232,16/02/2006,0130039X,35
5.382575734740869,43.296902413557852,                   35.0000000000,13201,MARSEILLE,THIERS,LYP,PUBLIC,5 Place du Lycée,13232,07/02/2006,0130040Y,36
5.379713997888613,43.304700907306703,                   36.0000000000,13203,MARSEILLE,VICTOR HUGO,LYP,PUBLIC,Boulevard Gustave Desplaces,13003,16/02/2006,0130043B,37
5.371413683423736,43.314252862965432,                   37.0000000000,13203,MARSEILLE,LE CHATELIER,LP,PUBLIC,108 avenue Roger Salengro,13003,09/02/2006,0130055P,38
5.399069713887358,43.301288650678188,                   38.0000000000,13204,MARSEILLE,MICHELET,LYP,PUBLIC,21 avenue Maréchal Foch,13004,16/02/2006,0130045D,39
5.400458686928512,43.293325502824892,                   39.0000000000,13205,MARSEILLE,MARIE CURIE,LYT,PUBLIC,Boulevard Jeanne d'Arc,13005,09/02/2006,0130051K,40
5.378352502076404,43.291334017599425,                   40.0000000000,13206,MARSEILLE,MONTGRAND,LYP,PUBLIC,13 rue Montgrand,13291,16/02/2006,0130042A,41
5.365314794997428,43.289209796806098,                   41.0000000000,13207,MARSEILLE,REMPART,LYT,PUBLIC,1 rue du Rempart,13007,09/02/2006,0130049H,42
5.357386473457104,43.287793681040228,                   42.0000000000,13207,MARSEILLE,COLBERT,LP,PUBLIC,13 rue du Capitaine Dessemond,13007,16/02/2006,0130071G,43
5.364608853564111,43.288686754652751,                   43.0000000000,13207,MARSEILLE,LEONARD DE VINCI,LP,PUBLIC,8 rue du Rempart,13007,16/02/2006,0130172S,44
5.381435708857829,43.281259802467474,                   44.0000000000,13208,MARSEILLE,PERIER,LYP,PUBLIC,270 rue Paradis,13295,16/02/2006,0130036U,45
5.377852919948035,43.240345860991212,                   45.0000000000,13208,MARSEILLE,MARSEILLEVEYRE,LYP,PUBLIC,83 traverse Parangon,13285,16/02/2006,0130038W,46
5.380327120876579,43.242869819995221,                   46.0000000000,13208,MARSEILLE,GERMAINE POINSO-CHAPUIS,LP,PUBLIC,49 traverse Parangon,13008,16/02/2006,0130054N,47
5.391338772585658,43.258808782379468,                   47.0000000000,13208,MARSEILLE,FREDERIC MISTRAL,LP,PUBLIC,46 boulevard de Sainte Anne,13417,16/02/2006,0130062X,48
5.385491648220921,43.254527385656921,                   48.0000000000,13208,MARSEILLE,LEAU,LP,PUBLIC,63 boulevard Leau,13008,16/02/2006,0130063Y,49
5.386703211674999,43.261922834371838,                   49.0000000000,13208,MARSEILLE,HONORE DAUMIER,LCM,PUBLIC,46 avenue Clot Bey,13008,16/02/2006,0130175V,50
5.377850066593949,43.237283221793405,                   50.0000000000,13208,MARSEILLE,DES CALANQUES,LPA,PUBLIC,Marseilleveyre,13008,16/02/2006,0131848N,51
5.392125726780017,43.245328923402454,                   51.0000000000,13208,MARSEILLE,HOTELIER,LYT,PUBLIC,114 avenue André Zénatti,13295,16/02/2006,0132974M,52
5.435394083195708,43.282705378032439,                   52.0000000000,13210,MARSEILLE,MARCEL PAGNOL,LYP,PUBLIC,128 boulevard de Saint Loup,13395,07/02/2006,0130037V,53
5.425081956652704,43.274034788847374,                   53.0000000000,13210,MARSEILLE,JEAN PERRIN,LYT,PUBLIC,74 rue Verdillon,13395,16/02/2006,0130053M,54
5.403684934246788,43.28269837607229,                   54.0000000000,13210,MARSEILLE,JEAN-BAPTISTE BROCHIER,LP,PUBLIC,9 boulevard Mireille Lauze,13010,16/02/2006,0130064Z,55
5.42354281656925,43.279762778543585,                   55.0000000000,13210,MARSEILLE,AMPERE,LP,PUBLIC,56 Bd Romain Rolland,13395,09/02/2006,0130072H,56
