X,Y,NUMEROLIGN,IDT_SOURCE,CODCOM,COMMUNE,STATUT_,DESIGNATIO,CENTROIDX,CENTROIDY,COMMUNES,TOTAL,TOTAL_R,IDLIGNE
5.188550412001372,43.550467076215682,                   41.0000000000,0133016H,,LA FARE-LES-OLIVIERS,PUBLIC,LOUIS LEPRINCE RINGUET,,,LA FARE LES OLIVIERS,671,                  671.0000000000,37
5.173365044076469,43.732510472831372,                   42.0000000000,0130032P,,MALLEMORT,PUBLIC,COLLINES DURANCE,,,MALLEMORT,538,                  538.0000000000,38
5.056536069331071,43.398477866028948,                   43.0000000000,0131707K,,MARTIGUES,PUBLIC,GERARD PHILIPPE,,,MARTIGUES,441,                  441.0000000000,39
5.04968698735665,43.411237436896414,                   44.0000000000,0131789Z,,MARTIGUES,PUBLIC,HENRI WALLON,,,MARTIGUES,439,                  439.0000000000,40
5.037017681007423,43.414408913328337,                   45.0000000000,0132208E,,MARTIGUES,PUBLIC,MARCEL PAGNOL,,,MARTIGUES,373,                  373.0000000000,41
5.011492081453287,43.414503216273737,                   46.0000000000,0132496T,,MARTIGUES,PUBLIC,HONORE DAUMIER,,,MARTIGUES,510,                  510.0000000000,42
5.006291309310236,43.594961968866905,                   47.0000000000,0132327J,,MIRAMAS,PUBLIC,MIRAMARIS,,,MIRAMAS,325,                  325.0000000000,43
4.996075638877143,43.576415052092649,                   48.0000000000,0132326H,,MIRAMAS,PUBLIC,ALBERT CAMUS,,,MIRAMAS,449,                  449.0000000000,44
4.999717401186893,43.585252255964591,                   49.0000000000,0132497U,,MIRAMAS,PUBLIC,LA CARRAIRE,,,MIRAMAS,360,                  360.0000000000,45
4.971825108700327,43.413359299858861,                   50.0000000000,0132212J,,PORT-DE-BOUC,PUBLIC,FREDERIC MISTRAL,,,PORT DE BOUC,291,                  291.0000000000,46
4.988318657658026,43.41505432630467,                   51.0000000000,0132322D,,PORT-DE-BOUC,PUBLIC,PAUL ELUARD,,,PORT DE BOUC,469,                  469.0000000000,47
4.799816102405669,43.394175780259332,                   52.0000000000,0132323E,,PORT-SAINT-LOUIS-DU-RHONE,PUBLIC,MAXIMILIEN DE ROBESPIERRE,,,PORT SAINT LOUIS,478,                  478.0000000000,48
5.233291172736177,43.483678056230701,                   53.0000000000,0131706J,,ROGNAC,PUBLIC,COMMANDANT COUSTEAU,,,ROGNAC,584,                  584.0000000000,49
5.032159467733259,43.5502229853047,                   54.0000000000,0130158B,,SAINT-CHAMAS,PUBLIC,RENE SEYSSAUD,,,SAINT CHAMAS,441,                  441.0000000000,50
5.096217208926207,43.643265098431748,                   55.0000000000,0132789L,,SALON-DE-PROVENCE,PRIVE,VIALA LACOSTE,,,SALON DE PROVENCE,565,                  565.0000000000,51
